"s","v","i","b"
1,0,1,1
1,0,2,1
2,0,1,2
2,0,1,3
2,0,2,3
2,0,2,4
2,0,3,1
2,0,3,2
2,0,4,1
2,0,4,4
3,0,1,1
3,0,1,2
3,0,1,12
3,0,2,7
3,0,2,11
3,0,2,12
3,0,3,1
3,0,3,4
3,0,3,10
3,0,4,9
3,0,4,10
3,0,4,11
3,0,5,2
3,0,5,3
3,0,5,8
3,0,6,6
3,0,6,7
3,0,6,8
3,0,7,3
3,0,7,4
3,0,7,5
3,0,8,5
3,0,8,6
3,0,8,9
4,1,1,11
4,1,1,14
4,1,1,15
4,1,1,27
4,1,2,14
4,1,2,18
4,1,2,21
4,1,2,26
4,1,3,15
4,1,3,16
4,1,3,19
4,1,4,18
4,1,4,19
4,1,4,20
4,1,5,1
4,1,5,9
4,1,5,11
4,1,6,21
4,1,6,22
4,1,6,28
4,1,7,1
4,1,7,3
4,1,7,16
4,1,7,17
4,1,8,3
4,1,8,20
4,1,8,22
4,1,8,23
4,1,9,10
4,1,9,12
4,1,9,13
4,1,9,27
4,1,10,5
4,1,10,13
4,1,10,25
4,1,10,26
4,1,11,4
4,1,11,7
4,1,11,12
4,1,12,4
4,1,12,5
4,1,12,6
4,1,13,8
4,1,13,9
4,1,13,10
4,1,14,24
4,1,14,25
4,1,14,28
4,1,15,2
4,1,15,7
4,1,15,8
4,1,15,17
4,1,16,2
4,1,16,6
4,1,16,23
4,1,16,24
5,1,1,7
5,1,1,32
5,1,1,33
5,1,1,59
5,1,1,60
5,1,2,15
5,1,2,56
5,1,2,57
5,1,2,59
5,1,3,38
5,1,3,55
5,1,3,58
5,1,3,60
5,1,4,50
5,1,4,53
5,1,4,55
5,1,4,56
5,1,5,25
5,1,5,29
5,1,5,33
5,1,5,37
5,1,6,45
5,1,6,46
5,1,6,57
5,1,7,36
5,1,7,37
5,1,7,38
5,1,7,39
5,1,8,46
5,1,8,47
5,1,8,48
5,1,8,50
5,1,9,9
5,1,9,19
5,1,9,24
5,1,9,32
5,1,10,12
5,1,10,19
5,1,10,21
5,1,11,52
5,1,11,54
5,1,11,58
5,1,12,49
5,1,12,53
5,1,12,54
5,1,13,23
5,1,13,24
5,1,13,25
5,1,13,26
5,1,14,21
5,1,14,22
5,1,14,23
5,1,15,39
5,1,15,40
5,1,15,51
5,1,15,52
5,1,16,43
5,1,16,48
5,1,16,49
5,1,16,51
5,1,17,2
5,1,17,6
5,1,17,7
5,1,17,8
5,1,18,6
5,1,18,14
5,1,18,15
5,1,18,16
5,1,19,1
5,1,19,2
5,1,19,3
5,1,20,1
5,1,20,13
5,1,20,14
5,1,20,17
5,1,21,29
5,1,21,30
5,1,21,34
5,1,22,16
5,1,22,44
5,1,22,45
5,1,23,34
5,1,23,35
5,1,23,36
5,1,24,17
5,1,24,42
5,1,24,44
5,1,24,47
5,1,25,5
5,1,25,8
5,1,25,9
5,1,25,10
5,1,26,10
5,1,26,11
5,1,26,12
5,1,26,20
5,1,27,3
5,1,27,4
5,1,27,5
5,1,28,4
5,1,28,11
5,1,28,13
5,1,28,18
5,1,29,26
5,1,29,28
5,1,29,30
5,1,29,31
5,1,30,20
5,1,30,22
5,1,30,27
5,1,30,28
5,1,31,31
5,1,31,35
5,1,31,40
5,1,31,41
5,1,32,18
5,1,32,27
