"s"	"v"	"i"	"x"	"y"
1	0	2	500	750
1	0	2	493.573	749.918
1	0	2	487.185	749.673
1	0	2	480.838	749.267
1	0	2	474.533	748.703
1	0	2	468.273	747.982
1	0	2	462.059	747.106
1	0	2	455.895	746.077
1	0	2	449.78	744.897
1	0	2	443.719	743.569
1	0	2	437.712	742.094
1	0	2	431.761	740.474
1	0	2	425.87	738.712
1	0	2	420.039	736.808
1	0	2	414.27	734.766
1	0	2	408.567	732.587
1	0	2	402.93	730.273
1	0	2	391.864	725.25
1	0	2	381.088	719.711
1	0	2	370.62	713.674
1	0	2	360.474	707.153
1	0	2	350.666	700.166
1	0	2	341.214	692.728
1	0	2	332.132	684.855
1	0	2	323.438	676.562
1	0	2	315.145	667.868
1	0	2	307.272	658.786
1	0	2	299.834	649.334
1	0	2	292.847	639.526
1	0	2	286.326	629.38
1	0	2	280.289	618.912
1	0	2	274.75	608.136
1	0	2	269.727	597.07
1	0	2	267.413	591.433
1	0	2	265.234	585.73
1	0	2	263.192	579.961
1	0	2	261.288	574.13
1	0	2	259.526	568.239
1	0	2	257.906	562.288
1	0	2	256.431	556.281
1	0	2	255.103	550.22
1	0	2	253.923	544.105
1	0	2	252.894	537.941
1	0	2	252.018	531.727
1	0	2	251.297	525.467
1	0	2	250.733	519.162
1	0	2	250.327	512.815
1	0	2	250.082	506.427
1	0	2	250	500
1	0	2	250.082	493.573
1	0	2	250.327	487.185
1	0	2	250.733	480.838
1	0	2	251.297	474.533
1	0	2	252.018	468.273
1	0	2	252.894	462.059
1	0	2	253.923	455.895
1	0	2	255.103	449.78
1	0	2	256.431	443.719
1	0	2	257.906	437.712
1	0	2	259.526	431.761
1	0	2	261.288	425.87
1	0	2	263.192	420.039
1	0	2	265.234	414.27
1	0	2	267.413	408.567
1	0	2	269.727	402.93
1	0	2	274.75	391.864
1	0	2	280.289	381.088
1	0	2	286.326	370.62
1	0	2	292.847	360.474
1	0	2	299.834	350.666
1	0	2	307.272	341.214
1	0	2	315.145	332.132
1	0	2	323.438	323.438
1	0	2	332.132	315.145
1	0	2	341.214	307.272
1	0	2	350.666	299.834
1	0	2	360.474	292.847
1	0	2	370.62	286.326
1	0	2	381.088	280.289
1	0	2	391.864	274.75
1	0	2	402.93	269.727
1	0	2	408.567	267.413
1	0	2	414.27	265.234
1	0	2	420.039	263.192
1	0	2	425.87	261.288
1	0	2	431.761	259.526
1	0	2	437.712	257.906
1	0	2	443.719	256.431
1	0	2	449.78	255.103
1	0	2	455.895	253.923
1	0	2	462.059	252.894
1	0	2	468.273	252.018
1	0	2	474.533	251.297
1	0	2	480.838	250.733
1	0	2	487.185	250.327
1	0	2	493.573	250.082
1	0	2	500	250
1	0	2	506.427	250.082
1	0	2	512.815	250.327
1	0	2	519.162	250.733
1	0	2	525.467	251.297
1	0	2	531.727	252.018
1	0	2	537.941	252.894
1	0	2	544.105	253.923
1	0	2	550.22	255.103
1	0	2	556.281	256.431
1	0	2	562.288	257.906
1	0	2	568.239	259.526
1	0	2	574.13	261.288
1	0	2	579.961	263.192
1	0	2	585.73	265.234
1	0	2	591.433	267.413
1	0	2	597.07	269.727
1	0	2	608.136	274.75
1	0	2	618.912	280.289
1	0	2	629.38	286.326
1	0	2	639.526	292.847
1	0	2	649.334	299.834
1	0	2	658.786	307.272
1	0	2	667.868	315.145
1	0	2	676.562	323.438
1	0	2	684.855	332.132
1	0	2	692.728	341.214
1	0	2	700.166	350.666
1	0	2	707.153	360.474
1	0	2	713.674	370.62
1	0	2	719.711	381.088
1	0	2	725.25	391.864
1	0	2	730.273	402.93
1	0	2	732.587	408.567
1	0	2	734.766	414.27
1	0	2	736.808	420.039
1	0	2	738.712	425.87
1	0	2	740.474	431.761
1	0	2	742.094	437.712
1	0	2	743.569	443.719
1	0	2	744.897	449.78
1	0	2	746.077	455.895
1	0	2	747.106	462.059
1	0	2	747.982	468.273
1	0	2	748.703	474.533
1	0	2	749.267	480.838
1	0	2	749.673	487.185
1	0	2	749.918	493.573
1	0	2	750	500
1	0	2	749.918	506.427
1	0	2	749.673	512.815
1	0	2	749.267	519.162
1	0	2	748.703	525.467
1	0	2	747.982	531.727
1	0	2	747.106	537.941
1	0	2	746.077	544.105
1	0	2	744.897	550.22
1	0	2	743.569	556.281
1	0	2	742.094	562.288
1	0	2	740.474	568.239
1	0	2	738.712	574.13
1	0	2	736.808	579.961
1	0	2	734.766	585.73
1	0	2	732.587	591.433
1	0	2	730.273	597.07
1	0	2	725.25	608.136
1	0	2	719.711	618.912
1	0	2	713.674	629.38
1	0	2	707.153	639.526
1	0	2	700.166	649.334
1	0	2	692.728	658.786
1	0	2	684.855	667.868
1	0	2	676.562	676.562
1	0	2	667.868	684.855
1	0	2	658.786	692.728
1	0	2	649.334	700.166
1	0	2	639.526	707.153
1	0	2	629.38	713.674
1	0	2	618.912	719.711
1	0	2	608.136	725.25
1	0	2	597.07	730.273
1	0	2	591.433	732.587
1	0	2	585.73	734.766
1	0	2	579.961	736.808
1	0	2	574.13	738.712
1	0	2	568.239	740.474
1	0	2	562.288	742.094
1	0	2	556.281	743.569
1	0	2	550.22	744.897
1	0	2	544.105	746.077
1	0	2	537.941	747.106
1	0	2	531.727	747.982
1	0	2	525.467	748.703
1	0	2	519.162	749.267
1	0	2	512.815	749.673
1	0	2	506.427	749.918
1	0	2	500	750
1	0	2	500	750
1	0	2	NA	NA
NA	NA	NA	NA	NA
2	0	2	500	284
2	0	2	506.935	279.998
2	0	2	514.046	276.243
2	0	2	521.319	272.736
2	0	2	528.742	269.477
2	0	2	536.303	266.466
2	0	2	543.989	263.706
2	0	2	551.788	261.196
2	0	2	559.688	258.938
2	0	2	567.675	256.931
2	0	2	575.737	255.177
2	0	2	583.863	253.676
2	0	2	592.039	252.43
2	0	2	600.253	251.438
2	0	2	608.493	250.702
2	0	2	616.746	250.223
2	0	2	625	250
2	0	2	631.427	250.082
2	0	2	637.815	250.327
2	0	2	644.162	250.733
2	0	2	650.467	251.297
2	0	2	656.727	252.018
2	0	2	662.941	252.894
2	0	2	669.105	253.923
2	0	2	675.22	255.103
2	0	2	681.281	256.431
2	0	2	687.288	257.906
2	0	2	693.239	259.526
2	0	2	699.13	261.288
2	0	2	704.961	263.192
2	0	2	710.73	265.234
2	0	2	716.433	267.413
2	0	2	722.07	269.727
2	0	2	733.136	274.75
2	0	2	743.912	280.289
2	0	2	754.38	286.326
2	0	2	764.526	292.847
2	0	2	774.334	299.834
2	0	2	783.786	307.272
2	0	2	792.868	315.145
2	0	2	801.562	323.438
2	0	2	809.855	332.132
2	0	2	817.728	341.214
2	0	2	825.166	350.666
2	0	2	832.153	360.474
2	0	2	838.674	370.62
2	0	2	844.711	381.088
2	0	2	850.25	391.864
2	0	2	855.273	402.93
2	0	2	857.587	408.567
2	0	2	859.766	414.27
2	0	2	861.808	420.039
2	0	2	863.712	425.87
2	0	2	865.474	431.761
2	0	2	867.094	437.712
2	0	2	868.569	443.719
2	0	2	869.897	449.78
2	0	2	871.077	455.895
2	0	2	872.106	462.059
2	0	2	872.982	468.273
2	0	2	873.703	474.533
2	0	2	874.267	480.838
2	0	2	874.673	487.185
2	0	2	874.918	493.573
2	0	2	875	500
2	0	2	874.918	506.427
2	0	2	874.673	512.815
2	0	2	874.267	519.162
2	0	2	873.703	525.467
2	0	2	872.982	531.727
2	0	2	872.106	537.941
2	0	2	871.077	544.105
2	0	2	869.897	550.22
2	0	2	868.569	556.281
2	0	2	867.094	562.288
2	0	2	865.474	568.239
2	0	2	863.712	574.13
2	0	2	861.808	579.961
2	0	2	859.766	585.73
2	0	2	857.587	591.433
2	0	2	855.273	597.07
2	0	2	850.25	608.136
2	0	2	844.711	618.912
2	0	2	838.674	629.38
2	0	2	832.153	639.526
2	0	2	825.166	649.334
2	0	2	817.728	658.786
2	0	2	809.855	667.868
2	0	2	801.562	676.562
2	0	2	792.868	684.855
2	0	2	783.786	692.728
2	0	2	774.334	700.166
2	0	2	764.526	707.153
